id,name,fullname,type,is_category,internal_type,external
544,element_bind_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.link.element_bind_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
545,save,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.link.save,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
546,controller,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode.directive_PARAM_2.controller,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
547,newCustomerModal.js,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_HTML5_JavaScript_SourceCode/INIT,HTML5 JavaScript initialisation,HTML5 JavaScript initialisation,CAST_HTML5_JavaScript_Initialisation,1
548,controller_PARAM_2_4,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
549,$scope_$on_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.$scope_$on_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
550,then_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.$scope_$on_PARAM_2.then_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
551,beforeSelectionChange,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.beforeSelectionChange,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
552,focusPurchase,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.focusPurchase,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
553,controller_PARAM_2_4,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersNewCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
