data_id,object_id
157010,8072
157010,9465
157010,8311
157010,8112
157010,1387
157010,1376
157010,8282
157010,8180
157010,8273
157010,8258
157010,8320
157010,1351
157010,8274
157010,8593
157010,8256
157010,8276
157010,8094
157010,8871
157010,8587
157010,8265
157010,8250
157010,8306
157010,8102
157011,1381
157011,1351
157011,8295
157011,1385
157011,1319
157011,8277
157011,8147
157012,8180
157012,8295
157012,8287
157012,1356
157012,1381
157013,1385
157013,8145
157013,8274
157013,1381
157013,1319
157013,1363
157013,8295
157014,1327
157014,1395
157015,1407
157016,8951
157016,1381
157016,8278
157016,8950
157016,8139
157016,8288
157016,8295
157016,1415
157017,8053
157017,9902
157017,9901
157017,8225
157017,9915
157017,8222
157017,1428
157018,1434
157019,8180
157019,8268
157019,8134
157019,8275
157019,1421
157019,8294
157019,8295
157019,8269
157019,8336
157019,8276
157019,8985
157019,1441
157019,8287
157019,1381
157019,8986
157019,1356
157019,8270
157019,1382
157019,8984
157019,8132
157019,8136
157020,1457
157021,9905
157021,9916
157021,8052
157021,1462
157021,9904
157021,8221
157021,8224
157023,8060
157024,8061
157025,8062
157026,8063
157027,8644
157027,8646
157027,8648
157027,8651
157027,8652
157027,8310
157027,8650
157028,8660
157028,8309
157028,8658
157028,8664
157028,8662
157028,8663
157028,8656
157029,8670
157029,8672
157029,8674
157029,8668
157029,8675
157029,8308
157029,8676
157030,8687
157030,8307
157030,8684
157030,8688
157030,8686
157030,8682
157030,8680
157031,8696
157031,8692
157031,8306
157031,8694
157031,8699
157031,8698
157031,8700
157032,8712
157032,8708
157032,8710
157032,8305
157032,8706
157032,8704
157032,8711
157033,8188
157033,8856
157033,8851
157033,8855
157033,8291
157033,8857
157033,8849
157033,8853
157034,8865
157035,8866
157035,8183
157035,8864
157035,8863
157035,8290
157036,8904
157036,8902
157036,8168
157036,8286
157037,8286
157037,8905
157037,8168
157037,8902
157038,8906
157038,8285
157038,8168
157038,8910
157038,8908
157038,8907
157039,8911
157040,8912
157041,8913
157041,8168
157041,8284
157041,8914
157042,8935
157043,8941
157044,9409
157044,9419
157044,9418
157044,9415
157044,9411
157044,8242
157044,9417
157044,9407
157044,9413
157044,8072
157045,9467
157045,8235
157045,9468
157045,9466
157045,9470
157046,9471
157047,9472
157048,8234
157048,9475
157048,9473
157049,9476
157049,8234
157049,9473
157050,9478
157050,9477
157050,8233
157051,9683
157052,9894
