data_id,object_id
157005,643
157006,644
157007,8051
157007,8294
157007,9918
157007,1421
157007,8389
157007,8226
157007,8287
157007,8381
157007,9899
157007,8128
157007,8295
157007,9898
157007,1356
157007,1304
157007,8390
157007,8220
157007,1381
157007,1382
157007,8266
157007,8385
157007,8180
157007,8336
157008,8297
157008,8632
157008,8242
157008,1390
157008,8329
157008,1376
157008,8368
157008,8132
157008,1374
157008,8309
157008,8248
157008,8136
157008,1385
157008,1334
157008,1382
157008,8301
157008,8086
157008,8249
157008,8639
157008,1388
157008,8257
157008,8100
157008,8321
157008,8270
157008,8299
157008,8096
157008,8094
157008,8250
157008,8296
157008,8126
157008,8725
157008,8130
157008,1441
157008,8872
157008,8246
157008,8334
157008,8708
157008,8260
157008,8265
157008,8333
157008,8733
157008,8317
157008,8338
157008,8269
157008,8259
157008,8836
157008,8072
157008,8255
157008,8090
157008,8302
157008,8303
157008,8739
157008,8633
157008,8325
157008,8098
157008,8332
157008,8116
157008,8256
157008,8273
157008,8295
157008,8188
157008,8147
157008,1318
157008,8304
157008,9457
157008,8275
157008,8271
157008,8262
157008,8613
157008,1421
157008,8106
157008,8268
157008,1351
157008,8612
157008,8145
157008,8104
157008,8247
157008,8711
157008,8283
157008,8278
157008,8236
157008,8138
157008,9465
157008,1384
157008,8370
157008,8319
157008,1383
157008,8251
157008,8328
157008,8986
157008,1319
157008,1389
157008,1468
157008,8305
157008,1386
157008,1375
157008,8238
157008,8312
157008,8640
157008,8623
157008,1394
157008,8291
157008,8110
157008,1391
157008,8258
157008,8293
157008,8335
157008,8253
157008,1379
157008,8323
157008,8264
157008,8237
157008,8597
157008,8180
157008,1378
157008,8122
157008,1320
157008,8245
157008,8607
157008,9464
157008,8290
157008,8719
157008,8608
157008,8183
157008,8320
157008,8141
157008,8277
157008,8102
157008,1373
157008,8598
157008,8369
157008,8603
157008,1380
157008,9458
157008,8306
157008,8143
157008,8336
157008,8617
157008,8837
157008,8326
157008,8602
157008,8318
157008,8108
157008,8327
157008,8114
157008,8726
157008,8330
157008,8984
157008,8871
157008,8732
157008,8316
157008,8324
157008,8081
157008,8311
157008,8622
157008,8240
157008,8244
157008,8267
157008,1392
157008,8241
157008,8254
157008,8300
157008,8294
157008,8239
157008,8588
157008,8313
157008,8593
157008,8315
157008,8308
157008,8627
157008,8298
157008,1381
157008,8124
157008,8274
157008,8120
157008,8118
157008,8282
157008,8263
157008,8985
157008,8307
157008,8587
157008,8092
157008,1356
157008,8134
157008,8252
157008,8310
157008,8243
157008,8314
157008,8272
157008,1387
157008,8331
157008,8592
157008,8618
157008,8322
157008,8287
157008,8276
157008,8740
157008,1363
157008,8289
157008,8628
157008,8261
157008,8873
157008,1377
157008,8088
157008,8838
157008,1393
157008,8112
157008,8718
157009,1327
157010,8298
157010,8598
157010,8120
157010,8106
157010,8136
157010,8252
157010,8302
157010,1375
157010,8317
157010,1381
157010,8255
157010,8310
157010,1380
157010,8315
157010,8245
157010,8238
157010,8328
157010,8836
157010,1384
157010,1390
157010,1388
157010,8334
157010,8244
157010,8267
157010,8092
157010,8104
157010,8708
157010,8313
157010,8319
157010,1389
157010,9464
157010,9457
157010,8338
157010,8607
157010,8732
157010,8711
157010,8239
157010,8300
157010,8324
157010,8295
157010,8257
157010,8248
157010,8259
157010,8100
157010,8242
157010,8183
157010,8618
157010,8289
157010,8132
157010,8602
157010,8312
157010,8296
157010,8246
157010,8293
157010,8622
157010,8986
157010,1363
157010,8608
157010,8147
157010,8326
157010,1383
157010,8247
157010,8325
157010,8327
157010,1378
157010,8623
157010,8370
157010,8291
157010,8740
157010,1421
157010,8639
157010,8318
157010,8270
157010,8081
157010,8098
157010,8262
157010,8984
157010,8134
157010,8733
157010,1468
157010,1393
157010,8301
157010,8330
157010,1320
157010,8838
157010,8275
157010,8332
157010,1334
157010,8322
157010,8096
157010,8603
157010,8122
157010,8303
157010,8124
157010,8985
157010,8261
157010,8336
157010,8116
157010,8236
157010,8314
157010,8307
157010,8719
157010,1374
157010,8837
157010,8086
157010,1382
157010,8138
157010,8726
157010,8126
157010,1394
157010,8253
157010,8254
157010,8725
157010,8283
157010,8088
157010,8287
157010,1318
157010,1386
157010,8264
157010,8627
157010,8739
157010,8251
157010,8271
157010,8114
157010,1391
157010,8297
157010,8237
157010,8249
157010,8321
157010,8188
157010,8110
157010,8368
157010,8613
157010,1356
157010,1379
157010,8268
157010,8308
157010,8260
157010,1392
157010,8145
157010,8369
157010,8872
157010,8243
157010,8640
157010,8240
157010,8316
157010,8272
157010,8597
157010,1441
157010,1377
157010,8108
157010,8333
157010,8294
157010,1385
157010,9458
157010,8329
157010,8612
157010,8304
157010,8130
157010,8588
157010,8278
157010,8718
157010,8269
157010,8309
157010,8290
157010,8305
157010,8143
157010,1373
157010,8090
157010,8592
157010,8141
157010,8277
157010,8331
157010,8628
157010,8299
157010,8335
157010,8323
157010,8263
157010,8241
157010,8118
157010,1319
157010,8617
157010,8633
157010,8873
157010,8632
