caller_id,called_id,link_type
8271,8375,Call
8271,8406,Call
8271,9039,Call
8272,1334,Call
8272,8375,Call
8272,8406,Call
8272,9026,Call
8273,1334,Call
8273,8375,Call
8273,8406,Call
8273,9013,Call
8274,1363,Call
8274,8375,Call
8274,8999,Call
8274,9000,Call
8275,1441,Call
8275,8375,Call
8275,8979,Call
8275,8986,Call
8276,1441,Call
8276,8375,Call
8276,8978,Call
8276,8979,Call
8277,1351,Call
8277,8375,Call
8277,8964,Call
8277,8965,Call
8278,1334,Call
8278,1415,Call
8278,8375,Call
8278,8406,Call
8278,8887,Call
8278,8951,Call
8279,8945,Call
8280,8940,Call
8281,8934,Call
8282,1334,Call
8282,8375,Call
8282,8406,Call
8282,8930,Call
8283,1334,Call
8283,8375,Call
8283,8406,Call
8283,8922,Call
8284,8913,Call
8285,8908,Call
8286,8902,Call
8287,1356,Call
8287,8375,Call
8287,8900,Call
8287,8901,Call
8288,1415,Call
8288,8375,Call
8288,8886,Call
8288,8887,Call
8289,1334,Call
8289,8375,Call
8289,8406,Call
8289,8873,Call
8290,1334,Call
8290,8375,Call
8290,8406,Call
8290,8864,Call
8291,1334,Call
8291,8375,Call
8291,8406,Call
8291,8856,Call
8292,8844,Call
8292,8845,Call
8293,1320,Call
8293,8374,Call
8293,8375,Call
8293,8838,Call
8294,1304,Call
8294,1334,Call
8294,1421,Call
8294,1441,Call
8294,8375,Call
8294,8406,Call
8294,8831,Call
8295,1304,Call
8295,1320,Call
8295,1334,Call
8295,1351,Call
8295,1356,Call
8295,1363,Call
8295,1415,Call
8295,1421,Call
8295,1441,Call
8295,8375,Call
8295,8406,Call
8295,8818,Call
8296,1334,Call
8296,8375,Call
8296,8406,Call
8296,8805,Call
8297,1334,Call
8297,8375,Call
8297,8406,Call
8297,8792,Call
8298,1334,Call
8298,8375,Call
8298,8406,Call
8298,8779,Call
8299,1334,Call
8299,8375,Call
8299,8406,Call
8299,8766,Call
8300,1334,Call
8300,8375,Call
8300,8406,Call
8300,8753,Call
8301,1334,Call
8301,8375,Call
8301,8406,Call
8301,8740,Call
8302,1334,Call
8302,8375,Call
8302,8406,Call
8302,8733,Call
8303,1334,Call
8303,8375,Call
8303,8406,Call
8303,8726,Call
8304,1334,Call
8304,8375,Call
8304,8406,Call
8304,8719,Call
8305,1334,Call
8305,8375,Call
8305,8406,Call
8305,8711,Call
8306,1334,Call
8306,8375,Call
8306,8406,Call
8306,8699,Call
8307,1334,Call
8307,8375,Call
8307,8406,Call
8307,8687,Call
8308,1334,Call
8308,8375,Call
8308,8406,Call
8308,8675,Call
8309,1334,Call
8309,8375,Call
8309,8406,Call
8309,8663,Call
8310,1334,Call
8310,8375,Call
8310,8406,Call
8310,8651,Call
8311,1334,Call
8311,8375,Call
8311,8406,Call
8311,8640,Call
8312,8633,Call
8313,8628,Call
8314,8623,Call
8315,8618,Call
8316,8613,Call
8317,8608,Call
8318,8603,Call
8319,8598,Call
8320,8593,Call
8321,8588,Call
8322,1334,Call
8322,8375,Call
8322,8406,Call
8322,8583,Call
8323,1334,Call
8323,8375,Call
8323,8406,Call
8323,8570,Call
8324,1334,Call
8324,8375,Call
8324,8406,Call
8324,8557,Call
8325,1334,Call
8325,8375,Call
8325,8406,Call
8325,8544,Call
8326,1334,Call
8326,8375,Call
8326,8406,Call
8326,8531,Call
8327,1334,Call
8327,8375,Call
8327,8406,Call
8327,8518,Call
8328,1334,Call
8328,8375,Call
8328,8406,Call
8328,8505,Call
8329,1334,Call
8329,8375,Call
8329,8406,Call
8329,8490,Call
8330,1334,Call
8330,8375,Call
8330,8406,Call
8330,8475,Call
8331,1334,Call
8331,8375,Call
8331,8406,Call
8331,8460,Call
8332,1334,Call
8332,8375,Call
8332,8406,Call
8332,8445,Call
8333,1334,Call
8333,8375,Call
8333,8406,Call
8333,8432,Call
8334,1334,Call
